Equipo,Camisola,Posicion,Nombre,Fehca_nacimiento,Altura,Peso,Goles
Croatia,10,MF,Luka MODRIC,1985/09/09,172,66,2
Croatia,11,MF,Marcelo BROZOVIC,1992/11/16,181,68,0
Croatia,12,GK,Lovre KALINIC,1990/04/03,201,96,0
Croatia,13,DF,Tin JEDVAJ,1995/11/28,184,81,0
Croatia,14,MF,Filip BRADARIC,1992/01/11,186,78,0
Croatia,15,DF,Duje CALETA-CAR,1996/09/17,192,89,0
Croatia,16,FW,Nikola KALINIC,1988/01/05,187,81,0
Croatia,17,FW,Mario MANDZUKIC,1986/05/21,190,85,1
Croatia,18,FW,Ante REBIC,1993/09/21,185,78,1
Croatia,19,MF,Milan BADELJ,1989/02/25,186,76,1
Croatia,20,FW,Marko PJACA,1995/05/06,186,83,0
Croatia,21,DF,Domagoj VIDA,1989/04/29,184,76,0
Croatia,22,DF,Josip PIVARIC,1989/01/30,176,69,0
Croatia,23,GK,Danijel SUBASIC,1984/10/27,191,84,0
Denmark,1,GK,Kasper SCHMEICHEL,1986/11/05,190,92,0
Denmark,2,MF,Michael KROHN-DEHLI,1983/06/06,171,69,0
Denmark,3,DF,Jannik VESTERGAARD,1992/08/03,200,98,0
Denmark,4,DF,Simon KJAER,1989/03/26,191,84,0
Denmark,5,DF,Jonas KNUDSEN,1992/09/16,187,82,0
Denmark,6,DF,Andreas CHRISTENSEN,1996/04/10,192,85,0
Denmark,7,MF,William KVIST,1985/02/24,185,80,0
Denmark,8,MF,Thomas DELANEY,1991/09/03,180,78,0
Denmark,9,FW,Nicolai JORGENSEN,1991/01/15,194,86,0
Denmark,10,MF,Christian ERIKSEN,1992/02/14,181,76,1
Denmark,11,FW,Martin BRAITHWAITE,1991/06/05,180,73,0
Denmark,12,FW,Kasper DOLBERG,1997/10/06,187,85,0
Denmark,13,DF,Mathias JORGENSEN,1990/04/23,191,85,1
Denmark,14,DF,Henrik DALSGAARD,1989/07/27,190,81,0
Denmark,15,FW,Viktor FISCHER,1994/06/09,181,80,0
Denmark,16,GK,Jonas LOSSL,1989/02/01,195,90,0
Denmark,17,DF,Jens STRYGER LARSEN,1991/02/21,182,82,0
Denmark,18,MF,Lukas LERAGER,1993/07/12,186,85,0
Denmark,19,MF,Lasse SCHONE,1986/05/27,178,80,0
Denmark,20,FW,Yurary Yussuf POULSEN,1994/06/15,193,84,1
Denmark,21,FW,Andreas CORNELIUS,1993/03/16,195,91,0
Denmark,22,GK,Frederik RONNOW,1992/08/04,190,85,0
Denmark,23,FW,Pione SISTO,1995/02/04,173,69,0
Egypt,1,GK,ESSAM EL HADARY,1973/01/15,190,90,0
Egypt,2,DF,GABR ALI,1989/01/01,191,88,0
Egypt,3,DF,ELMOHAMADY AHMED,1987/09/09,183,76,0
Egypt,4,MF,GABER OMAR,1992/01/30,175,71,0
Egypt,5,MF,MORSY SAM,1991/09/10,173,75,0
Egypt,6,DF,HEGAZY AHMED,1991/01/25,194,95,0
Egypt,7,DF,FATHI AHMED,1984/11/10,176,76,0
Egypt,8,MF,HAMED TAREK,1988/10/24,169,67,0
Egypt,9,FW,MOHSEN MARWAN,1989/02/26,185,81,0
Egypt,10,FW,SALAH MOHAMED,1992/06/15,175,71,2
Egypt,11,FW,KAHRABA,1994/04/13,182,76,0
Egypt,12,DF,ASHRAF AYMAN,1991/04/09,176,73,0
Egypt,13,DF,ABDELSHAFY MOHAMED,1985/07/01,171,72,0
Egypt,14,FW,SOBHY RAMADAN,1997/01/23,183,77,0
Egypt,15,DF,HAMDY MAHMOUD,1995/06/01,173,72,0
Egypt,16,GK,EKRAMY SHERIF,1983/07/10,193,93,0
Egypt,17,MF,ELNENY MOHAMED,1992/07/11,181,74,0
Egypt,18,FW,SHIKABALA,1986/03/05,183,80,0
Egypt,19,MF,SAID ABDALLA,1985/07/13,176,75,0
Egypt,20,DF,SAAD SAMIR,1989/04/01,183,82,0
Egypt,21,MF,TREZEGUET,1994/10/01,181,77,0
Egypt,22,FW,WARDA AMR,1993/09/17,179,77,0
Egypt,23,GK,ELSHENAWY MOHAMED,1988/12/18,191,86,0
England,1,GK,Jordan PICKFORD,1994/03/07,185,72,0
England,2,DF,Kyle WALKER,1990/05/28,178,83,0
England,3,DF,Danny ROSE,1990/07/02,173,76,0
England,4,MF,Eric DIER,1994/01/15,188,90,0
England,5,DF,John STONES,1994/05/28,188,72,0
England,6,DF,Harry MAGUIRE,1993/03/05,193,98,0
England,7,MF,Jesse LINGARD,1992/12/15,175,60,0
England,8,MF,Jordan HENDERSON,1990/06/17,183,82,0
England,9,FW,Harry KANE,1993/07/28,188,98,5
England,10,FW,Raheem STERLING,1994/12/08,170,70,0
England,11,FW,Jamie VARDY,1987/01/11,178,80,0
England,12,DF,Kieran TRIPPIER,1990/09/19,178,72,0
England,13,GK,Jack BUTLAND,1993/03/10,196,96,0
England,14,FW,Danny WELBECK,1990/11/26,184,78,0
England,15,DF,Gary CAHILL,1985/12/19,191,85,0
England,16,DF,Phil JONES,1992/02/21,182,72,0
England,17,DF,Fabian DELPH,1989/11/21,174,78,0
England,18,DF,Ashley YOUNG,1985/07/09,175,78,0
England,19,FW,Marcus RASHFORD,1997/10/31,180,78,0
England,20,MF,Dele ALLI,1996/04/11,188,76,0
England,21,MF,Ruben LOFTUS-CHEEK,1996/01/23,190,73,0
England,22,DF,Trent ALEXANDER-ARNOLD,1998/10/07,175,70,0
England,23,GK,Nick POPE,1992/04/19,191,76,0
France,1,GK,Hugo LLORIS,1986/12/26,188,82,0
France,2,DF,Benjamin PAVARD,1996/03/28,186,76,0
France,3,DF,Presnel KIMPEMBE,1995/08/13,182,78,0
France,4,DF,Raphael VARANE,1993/04/25,191,79,0
France,5,DF,Samuel UMTITI,1993/11/14,183,84,0
France,6,MF,Paul POGBA,1993/03/15,191,86,0
France,7,FW,Antoine GRIEZMANN,1991/03/21,174,72,0
France,8,FW,Thomas LEMAR,1995/11/12,172,65,0
France,9,FW,Olivier GIROUD,1986/09/30,193,91,0
France,10,FW,Kylian MBAPPE,1998/12/20,178,78,0
France,11,FW,Ousmane DEMBELE,1997/05/15,178,70,0
France,12,MF,Corentin TOLISSO,1994/08/03,180,82,0
France,13,MF,Ngolo KANTE,1991/03/29,168,70,0
France,14,MF,Blaise MATUIDI,1987/04/09,180,74,0
France,15,MF,Steven NZONZI,1988/12/15,197,87,0
France,16,GK,Steve MANDANDA,1985/03/28,187,88,0
France,17,DF,Adil RAMI,1985/12/27,190,90,0
France,18,FW,Nabil FEKIR,1993/07/18,173,76,0
France,19,DF,Djibril SIDIBE,1992/07/29,184,81,0
France,20,FW,Florian THAUVIN,1993/01/26,180,76,0
France,21,DF,Lucas HERNANDEZ,1996/02/14,183,76,0
France,22,DF,Benjamin MENDY,1994/07/17,183,84,0
France,23,GK,Alphonse AREOLA,1993/02/27,195,95,0
Germany,1,GK,Manuel NEUER,1986/03/27,193,93,0
Germany,2,DF,Marvin PLATTENHARDT,1992/01/26,181,76,0
Germany,3,DF,Jonas HECTOR,1990/05/27,185,75,0
Germany,4,DF,Matthias GINTER,1994/01/19,189,85,0
Germany,5,DF,Mats HUMMELS,1988/12/16,192,90,0
Germany,6,DF,Sami KHEDIRA,1987/04/04,189,81,0
Germany,7,MF,Julian DRAXLER,1993/09/20,185,74,0
Germany,8,MF,Toni KROOS,1990/01/04,182,78,0
Germany,9,FW,Timo WERNER,1996/03/06,181,75,0
Germany,10,MF,Mesut OEZIL,1988/10/15,180,70,0
Germany,11,FW,Marco REUS,1989/05/31,180,67,0
Germany,12,GK,Kevin TRAPP,1990/07/08,189,88,0
Germany,13,MF,Thomas MUELLER,1989/09/13,186,75,0
Germany,14,MF,Leon GORETZKA,1995/02/06,189,76,0
Germany,15,DF,Niklas SUELE,1995/09/03,195,89,0
Germany,16,DF,Antonio RUEDIGER,1993/03/03,191,85,0
Germany,17,DF,Jerome BOATENG,1988/09/03,192,90,0
Germany,18,DF,Joshua KIMMICH,1995/02/08,176,72,0
Germany,19,MF,Sebastian RUDY,1990/02/28,179,74,0
Germany,20,MF,Julian BRANDT,1996/05/02,183,82,0
